TempID,Domain,Architecture,Tactics,New FGTID,Technique Name,BLUF
NEW,5G Implementation,arch-control plane,Discovery,FGT5040,Discover operator private key,Adversary sends many arbitrary but cryptographically weak SUCI values in registration requests in order to discover private key of MNO using information received from failure/success responses.
NEW,5G Implementation,arch-user plane,Defense-evasion,FGT5042,Bypass Telecom Signaling Firewall,Adversary uses GTP echo request message to bypass telecom signaling application-layer firewall and so obtain and maintain unauthorized access
NEW,5G Implementation,"arch-control plane,arch-roaming",exfiltration,ADDENDUM TO T1041,Telecom Protocol,"Adversaries may exfiltrate subscriber data by embedding it in a telecommunications protocol also used for C2 (for example GTP, SIGTRAN   or external DNS protocol). "
NEW,5G Implementation,arch-ran,impact,ADDENDUM TO T1498.002,TAU Signaling Storm,Adversary controlled false base station transmits crafted broadcast messages to cause signaling storm on legitimate base stations
NEW,5G Implementation,"arch-ran,o-ran",impact,T1642.502,UE,An adversary may send a crafted signaling message to the UE to cause it to fail its attach procedure.
NEW,5G Implementation,"arch-ran,o-ran",impact,T1642.503,AMF,An adversary may send a crafted signaling message to the AMF to cause it to fail its service or attach request.
NEW,5G Implementation,arch-user plane,impact,T1499.504,DOS a UE via established GTP-U tunnel,An adversary may send crafted GTP-U packets to a UE via established user plane to crash or slow down UE.
NEW,5G Implementation,arch-user plane,impact,T1499.505,DOS a UE by GTP-U Exploit to the UPF  ,Adversary sends crafted GTP-U packets to UPF in order to cause a response from a server that will crash or slow down a UE.
NEW,5G Implementation,arch-control plane,impact,FGT5041,DOS an NF via Deregistration,Adversary sends fake SBI message to NRF to de-register a legitimate NF from 5G network.
NEW,5G Implementation,arch-control plane,lateral-movement,FGT5043,Unauthorized access to core network function via token abuse,An adversary may use an OAuth2.0 token to gain unauthorized access to a network function via service based interfaces in the 5G core
NEW,5G Implementation,arch-core,credential-access,FGT5043.001,Exploit OAuth2 Scope ,Adversary exploits OAuth2.0 scope configuration using inadequate scope definitions during NF registration to gain unauthorized access to network functions in 5G networks.
NEW,5G Implementation,"arch-ran,o-ran","Lateral Movement, Discovery, Impact",ADDENDUM TO T1210,Compromised rApp Exploits Services,A malicious rApp exploits the R1 interface to gain unauthorized access to network configuration and sensitive data by manipulating the non-RT RIC.
NEW,5G Implementation,"arch-ran,o-ran",Discovery,T1040.502,Eavesdrop on O-RAN U Plane Data,Adversary intercepts the Fronthaul to sniff U Plane data.
NEW,5G Implementation,"arch-ran,arch-roaming",credential-access,FGT5044,Force generation of subscriber keys,An adversary may attempt to subvert the roaming authentication process by forcing the home network to derive and send keys for a victim UE
NEW,5G Implementation,"arch-control plane, arch-user plane","Defense-evasion,command-and-control",FGT5045,Telecom Protocol Payload,Adversaries may hide their data within a legitimate telecom protocol payload in order to evade defenses such as firewall measures
NEW,5G Implementation,impl-oa&m,lateral-movement,ADDENDUM TO T1021,Server or Router Access,Adversary may compromise a remote management interface of routers or servers in telecommunications infrastructure to achieve follow-on behaviors
NEW,5G Implementation,"impl-oa&m, arch-roaming",Defense-evasion,ADDENDUM TO T1036.005,Utility Software,Adversaries may deploy their own software with a name to match the name of legitimate firewall utility tool
NEW,5G Implementation,"arch-ran,arch-roaming",Defense-evasion,T1036.501,PLMN ID,An adversary may use the identifier of a legitimate operator (PLMN ID) in order to trick the UE or evade roaming firewall/filtering
NEW,5G Implementation,"impl-oa&m,arch-roaming",Defense-evasion,ADDENDUM TO T1562.004,External DNS,An adversary uses a wrapper  to modify the external DNS (eDNS) firewall and thus evade detection of firewall changes
NEW,5G Implementation,"arch-control plane, arch-user plane",Defense-evasion,T1564.501,Command Output Filtering,An adversary may attempt to disguise communications using malware.
NEW,5G Implementation,arch-user plane,Defense-evasion,T1036.502,Port Number,Adversaries may use an unconventional port to obscure illicit communications.
NEW,5G Implementation,arch-user plane,"Defense-evasion,command-and-control,persistence",ADDENDUM TO T1205,Alternate Port Number,Adversaries may use an unconventional port to hide C2 messages.
NEW,5G Implementation,"arch-user plane,arch-roaming",command-and-control,T1572.502,C2 Over GTP-U,"An adversary establishes a C2 tunnel to a server it controls, using GTP-U."
1001,5G Implementation,"impl-virtualization,impl-oa&m",execution,ADDENDUM TO T1059,Telecom Systems CLI,"Adversaries may exploit command and scripting interpreters   to abuse API to escalate privileges, navigate the control plane, discover network information, or impact availability"
1002,5G Implementation,"arch-control plane,arch-user plane",command-and-control,ADDENDUM TO T1090.002,External Proxy,Adversaries may use an external proxy to act as an intermediary for network communications to a C2 server to avoid direct connections to their infrastructure
1003,5G Implementation,"arch-control plane,arch-user plane",command-and-control,ADDENDUM TO T1090.001,Internal Proxy,Adversaries may use an internal proxy to direct command and control traffic between two or more systems in a compromised environment
1004,5G Implementation,"arch-control plane,arch-user plane",command-and-control,ADDENDUM TO T1090.003,Multi-hop Proxy,Adversaries may use an external proxy to act as an intermediary for network communications to a C2 server to avoid direct connections to their infrastructure
1005,5G Implementation,impl-csp,"defense-evasion,persistence,privilege-escalation,initial-access",ADDENDUM TO T1078.001,Default Accounts,"Adversaries may abuse credentials of default accounts set by the factory on networking devices, system assets, or user accounts to gain access or control of the host or NF"
1006,5G Implementation,impl-csp,credential-access,ADDENDUM TO T1110.001,Password Guessing eDNS Server ,Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts
1007,5G Implementation,"arch-user plane,impl-csp",Exfiltration,ADDENDUM TO T1567.002,Exfiltration to Public Cloud,Adversaries may exfiltrate data to a cloud storage service rather than over their primary command and control channel
1008,5G Implementation,"impl-oa&m,o-ran","persistence,defense-evasion",ADDENDUM TO T1525,Inject malware in ORAN component ,"Threat actors may insert malicious components, configurations, or firmware into Open Radio Access Network (O-RAN) network functions during the deployment phase to gain access to radio network for further exploits"
1009,5G Implementation,"impl-oa&m,arch-ran,arch-mec","persistence,defense-evasion",FGT5046,Program Wrapper,"Adversaries may create or modify system-level processes to retain access, prevent detection, and open communication paths with C2 servers and new targets"
